split,image,label,issue_codes,suspicious_lines,max_box_area
train,data/forklift_ground/train/images/HLHO9S5T01KM_jpg.rf.b0b7c108ae25609f596ae5a50224917d.jpg,data/forklift_ground/train/labels/HLHO9S5T01KM_jpg.rf.b0b7c108ae25609f596ae5a50224917d.txt,large_box|large_box_with_inner_same_class,1|2,0.977313
train,data/forklift_ground/train/images/8YVPWMG6TN0R_jpg.rf.5e1034ea3fcf1cab17276bc226af4ae5.jpg,data/forklift_ground/train/labels/8YVPWMG6TN0R_jpg.rf.5e1034ea3fcf1cab17276bc226af4ae5.txt,large_box|large_box_with_inner_same_class,2|3,0.904282
train,data/forklift_ground/train/images/O54VSCTXSW3J_jpg.rf.0632b61a9475e52da941bf8300fd022d.jpg,data/forklift_ground/train/labels/O54VSCTXSW3J_jpg.rf.0632b61a9475e52da941bf8300fd022d.txt,large_box,2,0.995360
test,data/forklift_ground/test/images/8JWLHYHHBIFX_jpg.rf.9a029dba7cdd6f066a8ede05e7c69ce9.jpg,data/forklift_ground/test/labels/8JWLHYHHBIFX_jpg.rf.9a029dba7cdd6f066a8ede05e7c69ce9.txt,large_box,2,0.995339
test,data/forklift_ground/test/images/FNCTCUQBB2YK_jpg.rf.c39d89d5b473b8e1cb63f87034754840.jpg,data/forklift_ground/test/labels/FNCTCUQBB2YK_jpg.rf.c39d89d5b473b8e1cb63f87034754840.txt,large_box,3,0.995339
train,data/forklift_ground/train/images/62LXGO7FCDAQ_jpg.rf.abdb1a9c69d6f09c437bda63746d98b4.jpg,data/forklift_ground/train/labels/62LXGO7FCDAQ_jpg.rf.abdb1a9c69d6f09c437bda63746d98b4.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/9TFH23H15BVX_jpg.rf.cd3f0eca838418b8b49c1e3819bf951f.jpg,data/forklift_ground/train/labels/9TFH23H15BVX_jpg.rf.cd3f0eca838418b8b49c1e3819bf951f.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/AF4GT1WMLS49_jpg.rf.4f2322df87560e9545f63bbef6cd5f85.jpg,data/forklift_ground/train/labels/AF4GT1WMLS49_jpg.rf.4f2322df87560e9545f63bbef6cd5f85.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/EB2UHJDEOVJY_jpg.rf.d46aca847a072116be79cb5724b719f3.jpg,data/forklift_ground/train/labels/EB2UHJDEOVJY_jpg.rf.d46aca847a072116be79cb5724b719f3.txt,large_box,1,0.995339
train,data/forklift_ground/train/images/HHA0M56UCNZU_jpg.rf.0a163efad5c8cab1d6601fc17704740f.jpg,data/forklift_ground/train/labels/HHA0M56UCNZU_jpg.rf.0a163efad5c8cab1d6601fc17704740f.txt,large_box,1,0.995339
